0,1,jazz_guitar,ds5,2
4,5,jazz_guitar,as4,2
8,4,jazz_guitar,gs4,2
16,1,jazz_guitar,ds5,2
20,5,jazz_guitar,as4,2
24,4,jazz_guitar,gs4,2
27,3,jazz_guitar,fs4,2
30,1,jazz_guitar,ds4,2
32,1,jazz_guitar,ds5,2
36,5,jazz_guitar,as4,2
40,4,jazz_guitar,gs4,2
48,1,jazz_guitar,ds5,2
52,5,jazz_guitar,as4,2
56,4,jazz_guitar,gs4,2
59,3,jazz_guitar,fs4,2
62,1,jazz_guitar,ds4,2
32,0,electric_drum_kit,c4,2
36,5,electric_drum_kit,a3,2
40,4,electric_drum_kit,g3,2
48,0,electric_drum_kit,c4,2
52,5,electric_drum_kit,a3,2
56,4,electric_drum_kit,g3,2
62,3,electric_drum_kit,f3,2
59,3,electric_drum_kit,f3,2
64,1,jazz_guitar,ds5,2
68,5,jazz_guitar,as4,2
72,4,jazz_guitar,gs4,2
80,1,jazz_guitar,ds5,2
84,5,jazz_guitar,as4,2
88,4,jazz_guitar,gs4,2
91,3,jazz_guitar,fs4,2
94,1,jazz_guitar,ds4,2
64,3,electric_drum_kit,f3,2
72,3,electric_drum_kit,f3,2
80,3,electric_drum_kit,f3,2
88,4,electric_drum_kit,g3,2
64,6,electric_drum_kit,b2,2
67,6,electric_drum_kit,b2,2
68,1,electric_drum_kit,d3,2
70,6,electric_drum_kit,b2,2
72,6,electric_drum_kit,b2,2
75,1,electric_drum_kit,d3,2
78,1,electric_drum_kit,d3,2
80,6,electric_drum_kit,b2,2
83,6,electric_drum_kit,b2,2
84,1,electric_drum_kit,d3,2
86,6,electric_drum_kit,b2,2
90,6,electric_drum_kit,b2,2
93,6,electric_drum_kit,b2,2
88,2,electric_drum_kit,e3,2
91,2,electric_drum_kit,e3,2
94,2,electric_drum_kit,e3,2
96,1,jazz_guitar,ds5,2
100,5,jazz_guitar,as4,2
104,4,jazz_guitar,gs4,2
112,1,jazz_guitar,ds5,2
116,5,jazz_guitar,as4,2
120,4,jazz_guitar,gs4,2
123,3,jazz_guitar,fs4,2
126,1,jazz_guitar,ds4,2
96,3,electric_drum_kit,f3,2
104,3,electric_drum_kit,f3,2
112,3,electric_drum_kit,f3,2
120,4,electric_drum_kit,g3,2
96,6,electric_drum_kit,b2,2
99,6,electric_drum_kit,b2,2
100,1,electric_drum_kit,d3,2
102,6,electric_drum_kit,b2,2
104,6,electric_drum_kit,b2,2
107,1,electric_drum_kit,d3,2
110,1,electric_drum_kit,d3,2
112,6,electric_drum_kit,b2,2
115,6,electric_drum_kit,b2,2
116,1,electric_drum_kit,d3,2
118,6,electric_drum_kit,b2,2
122,6,electric_drum_kit,b2,2
125,6,electric_drum_kit,b2,2
120,2,electric_drum_kit,e3,2
123,2,electric_drum_kit,e3,2
126,2,electric_drum_kit,e3,2
96,1,muted_electric_guitar,ds5,2
104,4,muted_electric_guitar,gs5,2
98,3,muted_electric_guitar,f5,2
99,3,muted_electric_guitar,fs5,2
102,5,muted_electric_guitar,as5,2
112,1,muted_electric_guitar,ds5,2
114,3,muted_electric_guitar,f5,2
115,3,muted_electric_guitar,fs5,2
118,5,muted_electric_guitar,as5,2
120,4,muted_electric_guitar,gs5,2
122,3,muted_electric_guitar,fs5,2
123,3,muted_electric_guitar,f5,2
125,1,muted_electric_guitar,ds5,2
126,1,muted_electric_guitar,d5,2
128,1,jazz_guitar,ds5,2
132,5,jazz_guitar,as4,2
136,4,jazz_guitar,gs4,2
144,1,jazz_guitar,ds5,2
148,5,jazz_guitar,as4,2
